0.8185328185328186,.
1128.png,4
1282.png,4
265.png,3
217.png,3
2126.png,3
1469.png,1
3588.png,4
2211.png,1
1130.png,3
831.png,3
520.png,5
1284.png,5
1764.png,2
883.png,0
4864.png,4
1107.png,4
1129.png,2
2581.png,5
3631.png,1
3840.png,2
4032.png,4
51.png,4
1134.png,3
3255.png,5
3497.png,3
1190.png,5
1304.png,3
4921.png,5
2513.png,5
1283.png,2
4621.png,1
1892.png,2
1639.png,4
2280.png,3
4695.png,4
1667.png,3
1971.png,5
2671.png,3
4697.png,4
1748.png,1
2344.png,2
4477.png,3
910.png,2
3965.png,4
4357.png,1
903.png,3
4785.png,2
2571.png,3
2026.png,3
874.png,3
92.png,1
1775.png,0
1015.png,2
3928.png,5
2111.png,3
2272.png,3
1277.png,4
2438.png,2
405.png,3
4374.png,5
3655.png,4
3208.png,5
1785.png,4
1197.png,1
2876.png,1
2304.png,5
3773.png,1
3145.png,4
2959.png,1
1311.png,1
4056.png,4
2686.png,4
2437.png,5
2764.png,3
1249.png,3
4874.png,4
14.png,4
1964.png,3
2848.png,2
3511.png,3
3098.png,2
4546.png,3
1917.png,1
147.png,3
2955.png,2
4255.png,1
1398.png,5
2087.png,5
4214.png,3
354.png,1
3000.png,1
1435.png,1
2703.png,1
1850.png,5
4789.png,1
1057.png,2
1021.png,1
2507.png,1
3597.png,2
3810.png,4
2144.png,4
4575.png,5
2598.png,3
4689.png,1
111.png,4
2711.png,3
3640.png,2
3974.png,4
4809.png,5
1209.png,5
4675.png,5
283.png,2
1827.png,4
4440.png,5
1213.png,5
1535.png,4
2032.png,5
537.png,4
108.png,5
472.png,5
4832.png,2
317.png,2
4808.png,2
374.png,3
4752.png,4
2388.png,5
3378.png,1
79.png,1
4272.png,3
2212.png,3
2742.png,1
3522.png,4
4444.png,5
1757.png,3
768.png,1
3100.png,0
380.png,4
2231.png,3
4503.png,3
1519.png,2
259.png,3
3724.png,1
1459.png,4
2134.png,3
2656.png,1
2684.png,3
1776.png,3
2849.png,3
2434.png,3
3259.png,1
1947.png,4
2108.png,3
1961.png,3
2181.png,4
1202.png,4
208.png,4
4583.png,1
4639.png,5
1795.png,3
3970.png,0
1389.png,5
2002.png,1
4282.png,1
73.png,3
3348.png,4
3947.png,4
1226.png,4
1347.png,1
4835.png,4
74.png,1
2744.png,3
299.png,2
1139.png,3
1436.png,3
4592.png,3
699.png,4
4843.png,5
353.png,3
4739.png,0
4625.png,3
349.png,3
3984.png,5
3343.png,1
2047.png,1
3138.png,3
4471.png,2
651.png,4
607.png,5
1698.png,3
3021.png,4
3674.png,2
2101.png,4
2868.png,3
3154.png,3
987.png,3
4968.png,3
4893.png,1
2039.png,3
1588.png,4
1412.png,1
2631.png,1
8.png,3
375.png,5
4329.png,3
2327.png,5
2965.png,5
506.png,2
4317.png,4
446.png,2
1766.png,3
2015.png,1
2476.png,3
598.png,5
1387.png,3
118.png,1
2629.png,0
4260.png,1
3929.png,4
3102.png,2
1832.png,1
1430.png,3
4035.png,5
1362.png,4
3113.png,1
2858.png,1
1046.png,1
4947.png,5
4097.png,2
788.png,1
2117.png,2
953.png,3
4581.png,5
1604.png,4
1474.png,1
1878.png,3
1756.png,3
82.png,2
488.png,1
1809.png,5
1844.png,2
3867.png,4
584.png,4
4734.png,3
2084.png,4
3535.png,3
693.png,1
3759.png,5
3064.png,1
2166.png,3
2681.png,4
2038.png,5
2936.png,1
4208.png,5
1314.png,4
2705.png,3
160.png,4
194.png,5
1943.png,1
1846.png,5
2735.png,2
2875.png,2
858.png,1
4122.png,1
578.png,2
973.png,1
2944.png,3
229.png,0
3493.png,0
3187.png,5
4516.png,3
739.png,3
315.png,2
3976.png,1
1437.png,1
3575.png,3
1399.png,5
3464.png,2
3459.png,1
3948.png,2
3213.png,4
3061.png,2
725.png,1
3914.png,1
2446.png,4
96.png,1
3293.png,5
2632.png,4
2823.png,4
4429.png,4
1269.png,3
1916.png,1
295.png,4
851.png,5
3081.png,2
467.png,3
3944.png,5
3754.png,3
3940.png,2
1127.png,3
2145.png,3
3592.png,5
2807.png,1
3927.png,4
95.png,5
4446.png,1
1261.png,1
2190.png,2
2369.png,4
656.png,1
4887.png,4
4390.png,1
2660.png,5
3805.png,1
3009.png,0
2906.png,4
3971.png,3
3715.png,5
4270.png,2
1975.png,3
719.png,0
1710.png,2
4996.png,3
3455.png,1
1245.png,4
1885.png,4
1392.png,4
1925.png,3
3586.png,2
4069.png,1
4688.png,5
2357.png,4
2342.png,4
4685.png,4
104.png,4
112.png,5
1418.png,3
1977.png,5
2985.png,3
4223.png,2
4226.png,3
3765.png,2
1983.png,2
2677.png,3
618.png,3
4411.png,2
1652.png,1
4954.png,3
1287.png,1
3900.png,5
2687.png,3
885.png,1
4741.png,4
4252.png,1
3873.png,3
1367.png,3
2378.png,3
2273.png,5
3604.png,5
489.png,5
1749.png,4
1079.png,4
2907.png,3
4060.png,2
2348.png,4
2247.png,5
437.png,4
933.png,5
1467.png,2
818.png,0
4699.png,3
3729.png,4
2173.png,3
3393.png,5
1622.png,3
1689.png,4
2531.png,2
4479.png,3
756.png,4
2645.png,2
3538.png,3
3827.png,4
633.png,1
1963.png,2
4837.png,4
913.png,1
2863.png,3
1929.png,3
2010.png,2
2696.png,4
921.png,2
1730.png,3
1480.png,2
184.png,4
4481.png,4
3277.png,4
4915.png,1
1434.png,2
1606.png,5
846.png,4
3851.png,0
390.png,4
1177.png,2
4590.png,2
2804.png,3
3222.png,5
3024.png,3
1715.png,1
4496.png,3
4468.png,5
764.png,2
311.png,4
526.png,1
1168.png,2
1829.png,2
3957.png,3
4028.png,1
4489.png,5
1653.png,1
4790.png,3
3147.png,3
3854.png,4
2328.png,0
4988.png,1
3540.png,1
486.png,4
2640.png,1
631.png,4
3488.png,5
3501.png,4
2008.png,1
2229.png,5
4195.png,4
1713.png,2
902.png,1
4867.png,4
4256.png,2
958.png,3
257.png,2
4840.png,3
3549.png,2
1704.png,4
2523.png,2
3256.png,3
1794.png,4
702.png,1
3615.png,1
4812.png,3
2931.png,4
2552.png,3
757.png,3
3878.png,5
4136.png,3
3092.png,2
2929.png,3
2935.png,3
1532.png,3
2363.png,4
2368.png,3
117.png,3
3579.png,1
4770.png,4
4312.png,1
1376.png,3
4111.png,5
3008.png,3
1814.png,4
1824.png,2
3097.png,1
822.png,3
2278.png,5
3439.png,1
2030.png,2
766.png,4
1788.png,1
3533.png,1
2866.png,3
3603.png,5
923.png,1
3868.png,5
3210.png,2
3087.png,1
4205.png,5
1115.png,4
1339.png,4
3861.png,3
2007.png,3
2666.png,5
4609.png,1
4204.png,0
1448.png,2
1098.png,4
361.png,3
4120.png,4
2466.png,4
2737.png,0
4418.png,3
1544.png,5
2937.png,0
2491.png,1
3394.png,5
4261.png,5
4523.png,3
231.png,5
337.png,1
2418.png,1
1959.png,4
4746.png,1
1679.png,4
964.png,4
4487.png,5
2856.png,1
661.png,3
4586.png,1
2872.png,2
1123.png,0
2334.png,4
4933.png,1
1257.png,5
2201.png,1
2510.png,3
4184.png,3
3409.png,1
967.png,3
1292.png,2
4882.png,5
2225.png,4
2855.png,3
2704.png,3
4093.png,2
1630.png,4
3901.png,1
2090.png,1
2797.png,5
1970.png,0
1071.png,4
1470.png,2
3788.png,5
877.png,4
4488.png,5
4922.png,5
2013.png,1
1516.png,1
700.png,0
2442.png,3
1755.png,3
3146.png,5
2806.png,2
2698.png,4
543.png,3
2697.png,4
2526.png,2
3771.png,1
4144.png,3
3594.png,3
1087.png,2
4890.png,3
3367.png,1
4228.png,2
2.png,4
3831.png,4
4925.png,4
357.png,4
1515.png,5
4711.png,3
2167.png,3
2781.png,0
4419.png,4
3253.png,4
180.png,5
2986.png,1
1937.png,3
4795.png,1
954.png,3
2041.png,5
2734.png,5
2198.png,3
1586.png,3
770.png,5
4813.png,5
1461.png,0
715.png,1
3702.png,3
1212.png,1
4664.png,5
905.png,0
3143.png,3
2960.png,4
1696.png,1
4076.png,4
3319.png,2
3911.png,4
3662.png,4
3242.png,3
408.png,3
1023.png,2
3537.png,4
2633.png,4
4404.png,1
4568.png,1
2818.png,1
3542.png,3
1380.png,1
4165.png,4
4780.png,2
3895.png,2
3140.png,0
3915.png,1
956.png,2
1307.png,5
3159.png,4
4066.png,4
300.png,1
624.png,4
3495.png,4
1995.png,4
916.png,2
4941.png,1
826.png,1
156.png,1
720.png,1
1693.png,4
4775.png,4
4714.png,0
3826.png,3
608.png,5
2981.png,1
1179.png,0
2018.png,1
907.png,0
4339.png,3
3663.png,4
456.png,3
131.png,1
1110.png,3
3584.png,5
647.png,1
4006.png,1
2109.png,3
3058.png,1
200.png,2
2798.png,4
686.png,3
1614.png,1
2217.png,0
4935.png,1
2261.png,4
4172.png,1
3435.png,1
3642.png,4
1825.png,3
3513.png,4
920.png,1
2753.png,3
93.png,4
1537.png,5
1651.png,2
3057.png,2
1526.png,3
2468.png,4
44.png,1
3052.png,2
3136.png,4
2600.png,5
2548.png,5
18.png,4
2349.png,5
2997.png,4
2066.png,3
49.png,4
2394.png,3
4030.png,5
2577.png,3
128.png,1
4651.png,5
4219.png,5
2921.png,1
4870.png,5
536.png,1
2512.png,1
1743.png,2
4743.png,1
4042.png,1
1363.png,1
4445.png,1
1181.png,1
4959.png,3
4989.png,1
2500.png,5
2322.png,2
4517.png,5
882.png,1
306.png,4
2194.png,5
2877.png,4
830.png,1
2503.png,1
320.png,2
2707.png,3
4970.png,5
1028.png,2
3563.png,5
462.png,3
1016.png,2
593.png,1
2520.png,3
2012.png,4
4071.png,4
2562.png,3
3108.png,3
458.png,2
2845.png,2
4599.png,3
1574.png,2
4266.png,4
4478.png,2
1597.png,2
996.png,2
704.png,3
2690.png,1
2619.png,1
2256.png,2
1627.png,1
3875.png,4
1725.png,4
1490.png,5
4077.png,5
816.png,4
1840.png,4
2481.png,3
3583.png,1
1366.png,1
3193.png,3
3943.png,4
254.png,4
678.png,5
4308.png,4
137.png,1
2179.png,1
504.png,5
3309.png,3
3506.png,1
2277.png,1
3155.png,1
61.png,1
2741.png,3
1869.png,2
4521.png,2
4798.png,5
4024.png,1
165.png,5
3806.png,3
1767.png,4
622.png,3
1291.png,4
4415.png,4
3890.png,5
4423.png,1
1413.png,2
247.png,1
2499.png,5
2380.png,4
4872.png,3
500.png,1
3938.png,3
4217.png,3
734.png,3
1150.png,3
1169.png,3
2105.png,4
4337.png,3
802.png,3
4175.png,4
2035.png,1
946.png,4
2257.png,2
1271.png,3
2210.png,5
